[18:58:17] [INFO] received Windows console close event; shutting log-core down
[20:01:04] [INFO] received Windows console close event; shutting log-core down
[20:11:21] [INFO] received Windows console close event; shutting log-core down
[20:16:31] [INFO] received Windows console close event; shutting log-core down
[20:19:59] [INFO] received Windows console close event; shutting log-core down
[20:22:10] [INFO] received Windows console close event; shutting log-core down
[20:52:51] [INFO] received Windows console close event; shutting log-core down
[20:54:34] [INFO] received Windows console close event; shutting log-core down
[20:58:46] [INFO] received Windows console close event; shutting log-core down
[21:01:33] [INFO] received Windows console close event; shutting log-core down
[21:03:13] [INFO] received Windows console close event; shutting log-core down
[21:10:01] [INFO] received Windows console close event; shutting log-core down
[21:24:30] [INFO] received Windows console close event; shutting log-core down
[22:23:39] [INFO] received Windows console close event; shutting log-core down
[22:53:10] [INFO] received Windows console close event; shutting log-core down
[23:45:28] [INFO] received Windows console close event; shutting log-core down
[23:47:15] [INFO] received Windows console close event; shutting log-core down
[12:11:59] [INFO] received Windows console close event; shutting log-core down
[12:45:06] [INFO] received Windows console close event; shutting log-core down
[12:50:46] [INFO] received Windows console close event; shutting log-core down
[12:54:08] [INFO] received Windows console close event; shutting log-core down
[13:51:30] [INFO] received Windows console close event; shutting log-core down
[13:54:39] [INFO] received Windows console close event; shutting log-core down
[14:08:24] [INFO] received Windows console close event; shutting log-core down
[14:08:25] [INFO] received Windows console close event; shutting log-core down
[14:09:41] [INFO] received Windows console close event; shutting log-core down
[15:25:30] [INFO] received Windows console close event; shutting log-core down
[15:30:17] [INFO] received Windows console close event; shutting log-core down
[15:41:42] [INFO] received Windows console close event; shutting log-core down
[15:57:02] [INFO] received Windows console close event; shutting log-core down
[15:58:41] [INFO] received Windows console close event; shutting log-core down
[16:55:05] [INFO] received Windows console close event; shutting log-core down
[17:50:46] [INFO] received Windows console close event; shutting log-core down
[18:15:35] [INFO] received Windows console close event; shutting log-core down
[18:39:29] [INFO] received Windows console close event; shutting log-core down
[18:39:33] [INFO] received Windows console close event; shutting log-core down
[18:48:52] [INFO] received Windows console close event; shutting log-core down
[18:52:44] [INFO] received Windows console close event; shutting log-core down
[19:06:30] [INFO] received Windows console close event; shutting log-core down
[19:13:24] [INFO] received Windows console close event; shutting log-core down
[19:20:47] [INFO] received Windows console close event; shutting log-core down
[19:26:26] [INFO] received Windows console close event; shutting log-core down
[19:29:36] [INFO] received Windows console close event; shutting log-core down
[20:44:14] [INFO] received Windows console close event; shutting log-core down
[21:10:35] [INFO] received Windows console close event; shutting log-core down
[21:23:58] [INFO] received Windows console close event; shutting log-core down
[21:25:09] [INFO] received Windows console close event; shutting log-core down
[22:03:38] [INFO] received Windows console close event; shutting log-core down
[22:55:18] [INFO] received Windows console close event; shutting log-core down
[22:57:39] [INFO] received Windows console close event; shutting log-core down
[23:00:04] [INFO] received Windows console close event; shutting log-core down
[23:06:43] [INFO] received Windows console close event; shutting log-core down
[23:29:02] [INFO] received Windows console close event; shutting log-core down
[00:19:53] [INFO] received Windows console close event; shutting log-core down
[00:32:34] [INFO] received Windows console close event; shutting log-core down
[00:55:24] [INFO] received Windows console close event; shutting log-core down
[14:21:52] [INFO] received Windows console close event; shutting log-core down
[14:22:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:24:07] [INFO] received Windows console close event; shutting log-core down
[14:24:35] [INFO] received Windows console close event; shutting log-core down
[16:27:45] [INFO] received Windows console close event; shutting log-core down
[16:28:19] [INFO] received Windows console close event; shutting log-core down
[16:31:56] [INFO] received Windows console close event; shutting log-core down
[16:47:28] [INFO] received Windows console close event; shutting log-core down
[16:48:09] [INFO] received Windows console close event; shutting log-core down
[18:18:44] [INFO] received Windows console close event; shutting log-core down
[18:19:18] [INFO] received Windows console close event; shutting log-core down
[21:49:52] [INFO] received Windows console close event; shutting log-core down
[21:50:35] [INFO] received Windows console close event; shutting log-core down
[21:57:56] [INFO] received Windows console close event; shutting log-core down
[22:04:15] [INFO] received Windows console close event; shutting log-core down
[22:06:42] [INFO] received Windows console close event; shutting log-core down
[22:08:38] [INFO] received Windows console close event; shutting log-core down
[22:29:32] [INFO] received Windows console close event; shutting log-core down
[16:18:26] [INFO] received Windows console close event; shutting log-core down
[16:18:40] [INFO] received Windows console close event; shutting log-core down
[16:19:17] [INFO] received Windows console close event; shutting log-core down
[16:19:32] [INFO] received Windows console close event; shutting log-core down
[16:19:47] [INFO] received Windows console close event; shutting log-core down
[16:22:16] [INFO] received Windows console close event; shutting log-core down
[16:27:31] [INFO] received Windows console close event; shutting log-core down
[16:31:06] [INFO] received Windows console close event; shutting log-core down
[16:33:49] [INFO] received Windows console close event; shutting log-core down
[16:58:31] [INFO] received Windows console close event; shutting log-core down
[17:28:53] [INFO] received Windows console close event; shutting log-core down
[17:30:58] [INFO] received Windows console close event; shutting log-core down
